# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	117005
#@/user_id	659ce483-6874-4023-8d26-0ead44d09818
a 	啊	c=626 d=2.12741 t=116984
bian ce wo 	鞭策我	c=1 d=5.20614e-145 t=116978
bian cha 	變差	c=3 d=8.92125e-11 t=116978
bian cheng 	編程	c=1 d=4.64449e-08 t=116978
bian cheng 	變成	c=17 d=5.51418e-05 t=116978
bian da 	變大	c=1 d=9.04662e-175 t=116978
bian de 	變得	c=4 d=7.73022e-31 t=116978
bian dong 	變動	c=6 d=7.29751e-28 t=116978
bian fen 	變分	c=0 d=0.00769192 t=116978
bian fen tui lun 	變分推論	c=1 d=0.0773047 t=116978
bian geng 	變更	c=4 d=1.60605e-15 t=116978
bian hao 	編號	c=4 d=5.54988e-15 t=116978
bian hua 	變化	c=13 d=5.49661e-10 t=116978
bian huan 	變換	c=7 d=0.000636198 t=116978
bian ji 	編輯	c=4 d=1.95118e-11 t=116978
bian jie 	邊界	c=18 d=1.42298e-07 t=116978
bian jie kuang 	邊界框	c=12 d=1.8455e-17 t=116978
bian ju 	邊距	c=2 d=2.7007e-100 t=116978
bian kuang 	邊框	c=1 d=7.78908e-32 t=116978
bian le 	變了	c=2 d=1.11507e-46 t=116978
bian li 	遍歷	c=1 d=0.913931 t=116978
bian liang 	變量	c=8 d=0.103546 t=116978
bian ma 	編碼	c=42 d=1.41271e-06 t=116978
bian ma chu lai 	變嗎出來	c=1 d=1.25963e-39 t=116978
bian ma hou 	編碼後	c=1 d=2.70291e-139 t=116978
bian ma qi 	編碼器	c=2 d=2.72129e-62 t=116978
bian ma zhi ling 	编码指令	c=1 d=6.23348e-58 t=116978
bian mai 	變賣	c=3 d=0.00115345 t=116978
bian nian ti 	編年體	c=1 d=4.80128e-75 t=116978
bian shang 	邊上	c=1 d=1.40514e-31 t=116978
bian tai 	變態	c=1 d=5.33521e-139 t=116978
bian ti 	變體	c=14 d=0.000213515 t=116978
bian xi 	辨析	c=2 d=5.24174e-60 t=116978
bian xiang 	變相	c=2 d=2.72095e-33 t=116978
bian xie 	便攜	c=1 d=4.53709e-115 t=116978
bian xing 	變形	c=4 d=1.62099e-26 t=116978
bian yi 	便宜	c=1 d=2.83751e-05 t=116978
bian yi 	編譯	c=8 d=2.85173e-05 t=116978
bian yi qi 	編譯器	c=2 d=2.76311e-07 t=116978
bian yi xia 	編譯下	c=1 d=1.85539e-07 t=116978
bian yu 	便於	c=1 d=2.49916e-70 t=116978
bian yuan 	邊緣	c=3 d=4.6789e-37 t=116978
bian yuan zhuang tai 	邊緣狀態	c=1 d=4.70235e-36 t=116978
bian zhi 	編制	c=1 d=8.8049e-33 t=116978
bian zhong 	變種	c=4 d=1.76035e-06 t=116978
biao 	標	c=11 d=9.8152e-26 t=116978
biao 	表	c=38 d=9.51553e-05 t=116978
biao da 	表達	c=28 d=1.06549e-11 t=116978
biao da neng li 	表達能力	c=1 d=5.84138e-29 t=116978
biao da shi 	表達式	c=1 d=2.11982e-45 t=116978
biao da xing 	表達性	c=1 d=4.81273e-103 t=116978
biao dan 	表單	c=1 d=1.6687e-24 t=116978
biao dian 	標點	c=1 d=6.69023e-37 t=116978
biao ge 	表哥	c=1 d=2.87326e-64 t=116978
biao ge 	表格	c=42 d=0.0464787 t=116978
biao hao 	標號	c=4 d=7.1712e-89 t=116978
biao hong 	標紅	c=1 d=1.21329e-98 t=116978
biao ji 	標記	c=8 d=1.61717e-08 t=116978
biao jie 	表姐	c=1 d=2.88766e-64 t=116978
biao liang 	標量	c=3 d=4.09949e-31 t=116978
biao mian 	表面	c=3 d=5.64926e-10 t=116978
biao ming 	表明	c=6 d=5.57865e-17 t=116978
biao pei 	標配	c=1 d=4.38281e-61 t=116978
biao qian 	標籤	c=126 d=0.00150344 t=116978
biao qian ji he 	標籤集合	c=1 d=1.35119e-41 t=116978
biao qian shu ru 	標籤輸入	c=1 d=3.39032e-99 t=116978
biao qian zhi dao 	標籤指導	c=1 d=1.22519e-07 t=116978
biao qian zhi jian 	標籤之間	c=1 d=4.43997e-37 t=116978
biao qian zhong 	標籤中	c=1 d=7.8188e-18 t=116978
biao qing 	表情	c=5 d=9.01829e-50 t=116978
biao shang 	標上	c=1 d=1.57179e-26 t=116978
biao shi 	表示	c=24 d=0.000158461 t=116978
biao shi fu 	標識符	c=1 d=1.56826e-29 t=116978
biao shu 	表述	c=5 d=1.26293e-11 t=116978
biao shuai 	表率	c=1 d=2.41575e-53 t=116978
biao ti 	標題	c=16 d=8.02031e-82 t=116978
biao xia 	標下	c=1 d=1.81879e-96 t=116978
biao xian 	表現	c=8 d=9.33663e-05 t=116978
biao xian chu 	表現出	c=1 d=3.29952e-15 t=116978
biao xian chu lai 	表現出來	c=1 d=2.46413e-51 t=116978
biao xian de 	表現的	c=2 d=1.49143e-48 t=116978
biao xian hao 	表現好	c=1 d=4.64201e-178 t=116978
biao yan 	表演	c=3 d=9.92059e-11 t=116978
biao zai 	標在	c=1 d=2.5047e-96 t=116978
biao zheng 	表徵	c=17 d=6.23587e-20 t=116978
biao zheng lei bie 	表徵類別	c=1 d=1.89694e-91 t=116978
biao zhi 	標誌	c=2 d=1.30654e-28 t=116978
biao zhong 	表中	c=1 d=8.05829e-20 t=116978
biao zhu 	標註	c=78 d=3.04785e-08 t=116978
biao zhu xin xi 	標註信息	c=1 d=1.06742e-91 t=116978
biao zhun 	標準	c=7 d=4.07401e-25 t=116978
biao zhun hua 	標準化	c=1 d=2.54193e-05 t=116978
bie 	別	c=53 d=0.000164261 t=116978
bie 	憋	c=2 d=1.72938e-41 t=116978
bie dan xin 	別擔心	c=1 d=1.33798e-43 t=116978
bie de 	別的	c=8 d=0.010358 t=116978
bie fa biao qing 	別發表情	c=1 d=8.48904e-15 t=116978
bie gao su wo 	別告訴我	c=1 d=1.15459e-44 t=116978
bie gei 	別給	c=0 d=5.38843e-51 t=116978
bie gei ta men 	別給他們	c=1 d=5.41544e-50 t=116978
bie hui lai 	別回來	c=1 d=4.96553e-59 t=116978
bie jin bu 	別進步	c=1 d=8.6379e-43 t=116978
bie kan 	別看	c=2 d=1.80449e-62 t=116978
bie ku 	別哭	c=0 d=2.25865e-57 t=116978
bie ku a 	別哭啊	c=1 d=2.26997e-56 t=116978
bie lai 	別來	c=1 d=1.68033e-135 t=116978
bie lai wu yang 	別來無恙	c=1 d=6.77864e-15 t=116978
bie liao 	別了	c=1 d=6.03716e-152 t=116978
bie niu 	彆扭	c=1 d=7.48804e-127 t=116978
bie ren 	別人	c=27 d=4.55595e-12 t=116978
bie ren jia 	別人家	c=1 d=8.83857e-166 t=116978
bie ruo ji 	別弱雞	c=1 d=1.68027e-164 t=116978
bie shang ke le 	別上課了	c=1 d=3.21784e-73 t=116978
bie shu 	別墅	c=2 d=2.06518e-05 t=116978
bie shuo 	別說	c=1 d=1.71334e-158 t=116978
bie xian mu wo 	別羨慕我	c=1 d=1.83769e-100 t=116978
bie yong 	別用	c=1 d=5.65507e-30 t=116978
bie yun dong 	別運動	c=1 d=3.87494e-112 t=116978
bilibili 	哔哩哔哩	c=1 d=2.89377e-177 t=116978
bin 	斌	c=24 d=0.375311 t=116978
bin bin 	斌斌	c=1 d=1.15004e-27 t=116978
bin ge 	滨哥	c=2 d=4.53121e-41 t=116978
bin hai 	濱海	c=6 d=1.60283e-16 t=116978
bing 	並	c=74 d=7.37521e-05 t=116978
bing 	兵	c=4 d=5.74822e-07 t=116978
bing 	餅	c=1 d=3.89209e-17 t=116978
bing bang 	冰棒	c=1 d=0.00172074 t=116978
bing bing 	冰冰	c=2 d=3.6622e-36 t=116978
bing bu 	並不	c=0 d=3.14779e-21 t=116978
bing bu gao 	並不搞	c=1 d=3.16357e-20 t=116978
bing bu hui 	並不會	c=2 d=2.53486e-31 t=116978
bing bu ju bei 	並不具備	c=1 d=4.4793e-170 t=116978
bing bu neng 	並不能	c=3 d=1.23729e-05 t=116978
bing bu shi 	並不是	c=5 d=0.852144 t=116978
bing bu xu yao 	並不需要	c=1 d=1.15761e-16 t=116978
bing bu ying xiang 	並不影響	c=1 d=3.46717e-98 t=116978
bing du 	病毒	c=3 d=0.822835 t=116978
bing dui 	並對	c=1 d=8.99224e-16 t=116978
bing fang 	病房	c=1 d=0.000104117 t=116978
bing fei 	並非	c=2 d=5.4775e-37 t=116978
bing gan 	餅乾	c=0 d=0.000172937 t=116978
bing jia 	病假	c=1 d=1.91731e-99 t=116978
bing jiang 	並將	c=1 d=4.5886e-42 t=116978
bing ju 	病句	c=1 d=8.15896e-19 t=116978
bing li 	病例	c=1 d=2.05633e-99 t=116978
bing lie 	並列	c=1 d=6.35745e-25 t=116978
bing mei you 	並沒有	c=5 d=5.74952e-19 t=116978
bing qi 	摒棄	c=2 d=1.64396e-17 t=116978
bing qie 	並且	c=4 d=2.43434e-25 t=116978
bing wu 	並無	c=1 d=7.50535e-66 t=116978
bing xiang 	冰箱	c=1 d=6.29358e-112 t=116978
bing xing 	並行	c=17 d=6.50045e-22 t=116978
bing xing ce lve 	並行策略	c=1 d=2.24241e-30 t=116978
bing xing hua 	並行化	c=2 d=2.06053e-33 t=116978
bing xing ji suan 	並行計算	c=1 d=1.83687e-36 t=116978
bing xue shi jie 	冰雪世界	c=1 d=0.000302025 t=116978
bo 	博	c=4 d=4.64686e-14 t=116978
bo 	撥	c=7 d=1.08821e-112 t=116978
bo 	播	c=1 d=2.64398e-115 t=116978
bo 	泊	c=3 d=7.503e-137 t=116978
bo 	波	c=6 d=0.000437291 t=116978
bo fang 	播放	c=2 d=1.97489e-06 t=116978
bo fang shi bai 	播放失敗	c=1 d=5.18051e-87 t=116978
bo hao 	撥號	c=1 d=2.83983e-44 t=116978
bo hui 	駁回	c=3 d=2.12126e-53 t=116978
bo ke 	博客	c=6 d=3.0057e-06 t=116978
bo le 	伯樂	c=1 d=6.37845e-05 t=116978
bo li 	剝離	c=0 d=1.46378e-13 t=116978
bo li 	玻璃	c=1 d=2.9279e-21 t=116978
bo li diao 	剝離掉	c=1 d=1.47112e-12 t=116978
bo li shang 	玻璃上	c=1 d=1.68726e-154 t=116978
bo niu 	波妞	c=1 d=4.21024e-59 t=116978
bo ruo 	薄弱	c=2 d=1.61745e-10 t=116978
bo shi 	博士	c=12 d=0.535885 t=116978
bo ya 	博雅	c=1 d=1.04746e-163 t=116978
bo zhu 	博主	c=1 d=3.42939e-28 t=116978
bo zi 	脖子	c=1 d=9.25161e-27 t=116978
bu 	不	c=255 d=1.98597 t=116989
bu 	步	c=2 d=4.81452e-78 t=116978
bu 	補	c=13 d=2.19822e-35 t=116978
bu 	部	c=4 d=6.5195e-27 t=116978
bu ai 	不愛	c=1 d=4.67015e-14 t=116978
bu ai ni 	不愛你	c=2 d=2.26873e-12 t=116978
bu an 	不安	c=0 d=0.000634556 t=116978
bu bai chi 	不白癡	c=1 d=2.69353e-10 t=116978
bu bang 	不棒	c=1 d=2.964e-165 t=116978
bu bi 	不比	c=1 d=3.79744e-139 t=116978
bu bi yao 	不必要	c=2 d=4.87664e-23 t=116978
bu bian 	不變	c=6 d=0.00159641 t=116978
bu cai 	不採	c=0 d=4.22015e-117 t=116978
bu cai xin 	不採信	c=1 d=4.2413e-116 t=116978
bu can huo 	不慘禍	c=1 d=1.05744e-10 t=116978
bu chang 	不長	c=2 d=0.0177743 t=116978
bu chang 	步長	c=1 d=7.63176e-86 t=116978
bu chao 	不吵	c=0 d=8.12518e-30 t=116978
bu chao ni 	不吵你	c=1 d=8.16591e-29 t=116978
bu che pi 	不扯皮	c=1 d=0.00140882 t=116978
bu cheng 	不成	c=1 d=3.50057e-06 t=116978
bu cheng shi 	不誠實	c=1 d=1.2878e-152 t=116978
bu chi 	不喫	c=12 d=1.95019e-05 t=116978
bu chi le 	不喫了	c=1 d=5.69467e-112 t=116978
bu chong 	補充	c=20 d=4.19866e-07 t=116978
bu chong cai liao 	補充材料	c=5 d=7.05168e-09 t=116978
bu chong fen 	不充分	c=1 d=1.14329e-46 t=116978
bu chong shi yan 	補充實驗	c=1 d=2.98492e-42 t=116978
bu chong zu 	不充足	c=1 d=2.53305e-52 t=116978
bu chu 	不出	c=0 d=3.34767e-10 t=116978
bu chu lai 	不出來	c=9 d=0.0086517 t=116978
bu chu qu 	不出去	c=2 d=1.28892e-37 t=116978
bu chuan 	不傳	c=1 d=1.70618e-50 t=116978
bu chuan di 	不傳遞	c=1 d=3.15101e-32 t=116978
bu cu 	步数	c=1 d=9.45397e-105 t=116978
bu cun zai 	不存在	c=9 d=4.40657e-07 t=116978
bu cuo 	不錯	c=28 d=0.00338421 t=116978
bu da 	不大	c=27 d=0.384851 t=116978
bu da 	不打	c=0 d=1.19324e-50 t=116978
bu da di 	不打的	c=1 d=4.36007e-88 t=116978
bu da diao 	不打掉	c=1 d=1.19922e-49 t=116978
bu da suan 	不打算	c=3 d=2.00576e-12 t=116978
bu dai 	不帶	c=3 d=7.22381e-28 t=116978
bu dai wo 	不帶我	c=1 d=6.02997e-138 t=116978
bu dao 	不到	c=13 d=0.00618253 t=116978
bu de 	不得	c=1 d=4.30509e-27 t=116978
bu de bu 	不得不	c=3 d=3.10886e-50 t=116978
bu de bu cheng ren 	不得不承認	c=1 d=1.1734e-87 t=116978
bu de yi 	不得已	c=1 d=4.55983e-115 t=116978
bu dei 	不得	c=1 d=6.12066e-49 t=116978
bu di yu 	不低於	c=1 d=2.06433e-174 t=116978
bu ding 	不定	c=1 d=3.89938e-39 t=116978
bu ding 	補丁	c=1 d=2.52393e-39 t=116978
bu ding shi 	不定時	c=1 d=4.78741e-41 t=116978
bu diu ren 	不丟人	c=1 d=6.13317e-73 t=116978
bu dong 	不動	c=0 d=1.65801e-67 t=116978
bu dong 	不懂	c=6 d=0.0623495 t=116978
bu dong shi 	不懂事	c=1 d=1.3339e-154 t=116978
bu dou 	布兜	c=1 d=5.65874e-67 t=116978
bu dou shi 	不都是	c=2 d=1.26555e-06 t=116978
bu duan 	不斷	c=8 d=4.86486e-18 t=116978
bu duan ti sheng 	不斷提升	c=1 d=5.01613e-90 t=116978
bu dui 	不對	c=34 d=0.227749 t=116978
bu duo 	不多	c=4 d=7.97675e-18 t=116978
bu e 	不餓	c=1 d=2.83627e-88 t=116978
bu er 	不二	c=1 d=2.77169e-23 t=116978
bu er 	布爾	c=1 d=2.78558e-23 t=116978
bu fa 	步伐	c=1 d=0.19593 t=116978
bu fang bian 	不方便	c=4 d=5.2123e-12 t=116978
bu fang bian kai 	不方便開	c=1 d=1.35475e-160 t=116978
bu fen 	部分	c=50 d=3.7913e-10 t=116978
bu fen ge 	不分割	c=1 d=6.57969e-135 t=116978
bu fu he 	不符合	c=1 d=1.40806e-26 t=116978
bu gai 	不改	c=3 d=7.69978e-14 t=116978
bu gan 	不敢	c=10 d=9.8374e-14 t=116978
bu gan 	不甘	c=1 d=1.02501e-114 t=116978
bu gan ga 	不尷尬	c=1 d=2.10116e-88 t=116978
bu gan jing 	不乾淨	c=1 d=5.06789e-05 t=116978
bu gao 	不高	c=1 d=8.96444e-09 t=116978
bu gao xing 	不高興	c=1 d=5.74799e-104 t=116978
bu gei ni 	不給你	c=5 d=6.91065e-36 t=116978
bu gei qian 	不給錢	c=1 d=2.6824e-167 t=116978
bu gei wo 	不給我	c=1 d=3.23531e-166 t=116978
bu gen 	不跟	c=2 d=1.54281e-13 t=116978
bu gen ni shuo 	不跟你說	c=2 d=1.85602e-11 t=116978
bu gen wo 	不跟我	c=3 d=5.83226e-40 t=116978
bu gong xiang 	不共享	c=3 d=1.33161e-52 t=116978
bu gou 	不夠	c=21 d=0.213312 t=116978
bu gou chong fen 	不夠充分	c=1 d=2.58634e-91 t=116978
bu gou hao 	不夠好	c=1 d=1.53423e-65 t=116978
bu gou yong 	不夠用	c=1 d=0.0428521 t=116978
bu gu ding 	不固定	c=1 d=1.19905e-18 t=116978
bu gu fu 	不辜負	c=1 d=1.53811e-124 t=116978
bu guai 	不乖	c=0 d=9.51654e-66 t=116978
bu guai wo 	不乖我	c=1 d=9.56424e-65 t=116978
bu guan 	不管	c=14 d=0.00190171 t=116978
bu guan shi 	不管是	c=1 d=3.32273e-68 t=116978
bu guan xin 	不關心	c=1 d=3.62491e-92 t=116978
bu gui 	不貴	c=1 d=1.92436e-54 t=116978
bu guo 	不過	c=65 d=0.621983 t=116978
bu guo lv 	不過濾	c=5 d=1.82449e-21 t=116978
bu guo shi 	不過是	c=1 d=8.10506e-88 t=116978
bu hao 	不好	c=42 d=0.10435 t=116978
bu hao chai 	不好拆	c=1 d=4.32579e-54 t=116978
bu hao he 	不好喝	c=1 d=1.50161e-165 t=116978
bu hao jie shi 	不好解釋	c=1 d=0.111359 t=116978
bu hao jin 	不好進	c=1 d=0.241714 t=116978
bu hao kan 	不好看	c=3 d=7.98788e-05 t=116978
bu hao shou 	不好受	c=1 d=3.53756e-11 t=116978
bu hao shuo 	不好說	c=11 d=0.0273237 t=116978
bu hao xiang 	不好想	c=1 d=2.06293e-166 t=116978
bu hao xiao 	不好笑	c=3 d=0.000259417 t=116978
bu hao yi si 	不好意思	c=7 d=2.81999e-42 t=116978
bu hao yi si ha 	不好意思哈	c=1 d=1.22795e-151 t=116978
bu hao yong 	不好用	c=5 d=6.22838e-19 t=116978
bu hao zhuan 	不好轉	c=1 d=7.80292e-141 t=116978
bu he 	不喝	c=2 d=8.32351e-48 t=116978
bu he li 	不合理	c=1 d=8.75027e-48 t=116978
bu he shi 	不合適	c=4 d=7.63628e-61 t=116978
bu he shi de 	不合適的	c=1 d=4.64468e-126 t=116978
bu hou dao 	不厚道	c=2 d=2.06495e-23 t=116978
bu hua qian 	不花錢	c=1 d=7.75476e-127 t=116978
bu hua suan 	不划算	c=4 d=9.26549e-74 t=116978
bu huan 	不還	c=2 d=1.30498e-14 t=116978
bu huang 	不慌	c=1 d=1.53136e-43 t=116978
bu hui 	不回	c=34 d=0.0217096 t=116978
bu hui 	不會	c=65 d=0.368682 t=116978
bu hui bu hui 	不會不會	c=1 d=1.1194e-121 t=116978
bu hui ip 	不會iPhone	c=1 d=8.01648e-47 t=116978
bu hui shi 	不會是	c=4 d=5.53179e-06 t=116978
bu huo 	捕獲	c=10 d=1.49949e-17 t=116978
bu ji 	不及	c=1 d=1.71807e-161 t=116978
bu ji 	不濟	c=1 d=5.6784e-49 t=116978
bu ji 	不給	c=1 d=1.7095e-161 t=116978
bu ji de le 	不記得了	c=1 d=8.71905e-06 t=116978
bu ji huo 	不激活	c=2 d=1.73349e-31 t=116978
bu jia 	不佳	c=3 d=5.06105e-10 t=116978
bu jia 	不加	c=4 d=3.59335e-48 t=116978
bu jian 	不見	c=3 d=6.42353e-29 t=116978
bu jian le 	不見了	c=4 d=2.19346e-35 t=116978
bu jiang 	不講	c=1 d=1.03147e-41 t=116978
bu jiao 	不交	c=2 d=2.25759e-42 t=116978
bu jiao lv 	不焦慮	c=1 d=2.65741e-57 t=116978
bu jie 	不借	c=5 d=7.85399e-12 t=116978
bu jie hun 	不結婚	c=1 d=1.13046e-119 t=116978
bu jie ya 	不解壓	c=1 d=2.27166e-06 t=116978
bu jin 	不僅	c=10 d=1.82152e-08 t=116978
bu jin 	步進	c=1 d=3.29548e-30 t=116978
bu jin ji 	不緊急	c=1 d=6.99533e-91 t=116978
bu jin jin 	不僅僅	c=5 d=6.14637e-10 t=116978
bu jin qu 	不進去	c=0 d=6.59961e-54 t=116978
bu jin ru ci 	不僅如此	c=1 d=3.78813e-22 t=116978
bu jin xing 	不進行	c=1 d=7.33126e-84 t=116978
bu jin zhang 	不緊張	c=1 d=4.27214e-113 t=116978
bu jing 	不經	c=1 d=3.33554e-172 t=116978
bu jing song 	不驚悚	c=1 d=2.23815e-37 t=116978
bu jiu 	不就	c=1 d=3.05902e-07 t=116978
bu jiu 	補救	c=3 d=8.96139e-05 t=116978
bu jiu jie 	不糾結	c=3 d=3.48385e-125 t=116978
bu jiu shi 	不就是	c=2 d=2.19869e-63 t=116978
bu ju you 	不具有	c=4 d=3.46091e-18 t=116978
bu jue 	不決	c=0 d=8.06248e-174 t=116978
bu jun 	不均	c=1 d=3.26005e-138 t=116978
bu jun heng 	不均衡	c=17 d=2.03028e-07 t=116978
bu kai 	不開	c=2 d=4.48627e-12 t=116978
bu kai men 	不開門	c=1 d=6.47926e-13 t=116978
bu kai tong 	不開通	c=1 d=3.83064e-65 t=116978
bu kai xin 	不開心	c=3 d=6.53368e-38 t=116978
bu kan 	不看	c=9 d=0.00779789 t=116978
bu kan le 	不看了	c=2 d=7.54658e-64 t=116978
bu kao 	補考	c=1 d=4.8196e-61 t=116978
bu kao lv 	不考慮	c=4 d=9.09016e-28 t=116978
bu ke 	不可	c=6 d=5.56046e-08 t=116978
bu ke ai 	不可愛	c=2 d=3.64199e-59 t=116978
bu ke bi mian 	不可避免	c=1 d=4.68418e-108 t=116978
bu ke kang li 	不可抗力	c=1 d=1.31372e-63 t=116978
bu ke leng 	不可稜	c=1 d=5.70613e-165 t=116978
bu ke neng 	不可能	c=20 d=3.12444e-07 t=116978
bu ke pa 	不可怕	c=1 d=3.89872e-37 t=116978
bu ke yi 	不可以	c=15 d=0.00677172 t=116978
bu ke yong 	不可用	c=4 d=1.45341e-46 t=116978
bu kui 	不虧	c=1 d=5.23385e-178 t=116978
bu lai 	不來	c=5 d=3.05268e-12 t=116978
bu le 	不了	c=12 d=2.31432e-19 t=116978
bu lei 	不累	c=1 d=3.61836e-12 t=116978
bu li 	不利	c=1 d=1.08503e-107 t=116978
bu li 	不理	c=1 d=7.15558e-34 t=116978
bu li 	不離	c=1 d=3.81827e-27 t=116978
bu li ni 	不理你	c=1 d=0.0547488 t=116978
bu li wo 	不理我	c=8 d=0.0102037 t=116978
bu li xiang 	不理想	c=1 d=2.47051e-52 t=116978
bu liang 	不良	c=3 d=2.52119e-85 t=116978
bu liao 	不了	c=17 d=0.00982736 t=116978
bu liao jie 	不瞭解	c=2 d=6.44345e-36 t=116978
bu lou 	補漏	c=1 d=2.05018e-05 t=116978
bu lu 	補錄	c=1 d=1.05744e-10 t=116978
bu lun 	不論	c=2 d=2.04399e-87 t=116978
bu lun shi 	不論是	c=3 d=5.59654e-84 t=116978
bu ma fan 	不麻煩	c=2 d=0.0020601 t=116978
bu mai 	不買	c=1 d=0.00017252 t=116978
bu mai le 	不買了	c=1 d=8.91251e-117 t=116978
bu man 	不滿	c=3 d=9.66756e-15 t=116978
bu man ni shuo 	不瞞你說	c=1 d=2.57396e-64 t=116978
bu man zu 	不滿足	c=2 d=7.13508e-179 t=116978
bu mang 	不忙	c=1 d=1.88658e-56 t=116978
bu men 	部門	c=21 d=0.0995948 t=116978
bu mian 	不免	c=1 d=3.21316e-144 t=116978
bu ming 	不明	c=1 d=2.03609e-159 t=116978
bu ming xian 	不明顯	c=2 d=8.51391e-20 t=116978
bu na 	不拿	c=1 d=8.85119e-124 t=116978
bu nai fan 	不耐煩	c=1 d=2.59894e-60 t=116978
bu neng 	不能	c=109 d=0.842065 t=116978
bu neng fang ren 	不能放任	c=1 d=9.92412e-29 t=116978
bu neng ru zhi 	不能入職	c=1 d=3.10823e-77 t=116978
bu neng shuo 	不能說	c=1 d=1.76366e-175 t=116978
bu ou 	布偶	c=1 d=6.38823e-23 t=116978
bu pa 	不怕	c=4 d=1.24714e-10 t=116978
bu pai chu 	不排除	c=1 d=4.14192e-43 t=116978
bu pei 	不配	c=2 d=0.0596059 t=116978
bu ping he 	不平和	c=1 d=1.13736e-73 t=116978
bu ping heng 	不平衡	c=5 d=1.62921e-08 t=116978
bu ping heng wen ti 	不平衡問題	c=1 d=1.63738e-07 t=116978
bu qi 	不起	c=1 d=2.22206e-11 t=116978
bu qi 	不齊	c=0 d=2.01609e-44 t=116978
bu qi lai 	不起來	c=2 d=2.11405e-13 t=116978
bu qiang 	不強	c=1 d=1.22075e-170 t=116978
bu qing 	不清	c=1 d=3.56062e-58 t=116978
bu qing chu 	不清楚	c=8 d=0.0520787 t=116978
bu qing jia 	不清家	c=1 d=6.52976e-163 t=116978
bu qing xi 	不清晰	c=1 d=1.81581e-18 t=116978
bu qing zhu 	不慶祝	c=1 d=6.72284e-06 t=116978
bu qiu 	不求	c=1 d=1.37672e-114 t=116978
bu qu 	不去	c=21 d=0.0082883 t=116978
bu qu le 	不去了	c=2 d=9.25318e-29 t=116978
bu quan 	不全	c=3 d=4.99244e-05 t=116978
bu que ding 	不確定	c=12 d=0.00173502 t=116978
bu que ding xing 	不確定性	c=4 d=0.00165809 t=116978
bu ran 	不然	c=43 d=0.0318456 t=116978
bu ran hui 	不然會	c=1 d=1.14365e-79 t=116978
bu ran jiu 	不然就	c=2 d=7.65064e-45 t=116978
bu ran na 	不然那	c=1 d=2.12711e-56 t=116978
bu rang 	不讓	c=10 d=4.48505e-25 t=116978
bu rang gai 	不讓改	c=1 d=1.92207e-40 t=116978
bu rang kan 	不讓看	c=1 d=3.04253e-61 t=116978
bu rang ni 	不讓你	c=2 d=1.1685e-126 t=116978
bu rang wo 	不讓我	c=4 d=7.61384e-29 t=116978
bu ren de 	不認得	c=1 d=8.81511e-76 t=116978
bu ren shi 	不認識	c=1 d=5.8935e-104 t=116978
bu ren wei 	不認爲	c=1 d=7.48901e-11 t=116978
bu ren zhang 	不認賬	c=1 d=1.62999e-42 t=116978
bu rong yi 	不容易	c=3 d=1.29645e-25 t=116978
bu ru 	不如	c=4 d=0.000278804 t=116978
bu shai xuan 	不篩選	c=1 d=2.47448e-159 t=116978
bu shan 	不善	c=0 d=6.58011e-78 t=116978
bu shang 	不上	c=2 d=2.63096e-58 t=116978
bu shang 	補上	c=1 d=4.31462e-53 t=116978
bu shang qu 	不上去	c=1 d=9.35482e-128 t=116978
bu shao 	不少	c=1 d=8.81689e-49 t=116978
bu shao wei 	不少爲	c=1 d=1.45494e-29 t=116978
bu she 	不捨	c=1 d=3.41185e-144 t=116978
bu shi 	不實	c=1 d=7.33649e-63 t=116978
bu shi 	不是	c=269 d=0.312118 t=116978
bu shi bu 	不是不	c=1 d=6.52061e-29 t=116978
bu shi bu shi 	不是不是	c=4 d=2.81388e-83 t=116978
bu shi shuo 	不是說	c=8 d=2.36598e-14 t=116978
bu shi zai 	不是在	c=2 d=4.16551e-51 t=116978
bu shou 	不受	c=1 d=2.77302e-58 t=116978
bu shu 	部署	c=7 d=2.38521e-21 t=116978
bu shu fu 	不舒服	c=4 d=2.04871e-26 t=116978
bu shu shi 	部署時	c=1 d=7.54578e-41 t=116978
bu shu yu 	不屬於	c=1 d=5.34317e-39 t=116978
bu shui 	補稅	c=1 d=6.2724e-43 t=116978
bu shui jiao 	不睡覺	c=1 d=2.33085e-132 t=116978
bu shun 	不順	c=0 d=2.03187e-165 t=116978
bu shuo 	不說	c=7 d=3.07383e-05 t=116978
bu suan 	不算	c=8 d=2.3283e-31 t=116978
bu suan hua 	不算話	c=1 d=2.78321e-13 t=116978
bu suan shen me 	不算什麼	c=1 d=8.16869e-33 t=116978
bu suan shu 	不算數	c=1 d=3.2825e-13 t=116978
bu tai 	不太	c=40 d=0.0730094 t=116978
bu tai dui 	不太對	c=3 d=1.0758e-36 t=116978
bu tai hao 	不太好	c=9 d=8.88431e-21 t=116978
bu tai he shi 	不太合適	c=1 d=4.32846e-120 t=116978
bu tai qing chu 	不太清楚	c=3 d=1.19759e-33 t=116978
bu tai que ding 	不太確定	c=1 d=6.37174e-22 t=116978
bu tai xian shi 	不太現實	c=1 d=1.1829e-123 t=116978
bu tai xiang 	不太想	c=1 d=1.1057e-35 t=116978
bu tai xing 	不太性	c=1 d=1.04117e-151 t=116978
bu tai yi yang 	不太一樣	c=2 d=9.60564e-57 t=116978
